,Parking,Swimming Pool,Restaurant,Room Service,Fitness Centre,Spa & Wellness Centre,Business Centre,Facilities for Disabled,Airport Shuttle,Non-smoking Rooms,Babysitting/Child Services,Meeting/Banquet Facilities,Car Rental,Breakfast Buffet,Bar/Lounge,Kids Activities,Game Room,Dry Cleaning,Valet Parking,name,rate,review,Highspeed Internet,Airconditioning,Safe/Vault,Tennis Court,Indoor Pool,Pet-friendly,Casino,Golfcourse,Beach Access,Ski-In Ski-Out
80,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,Al Farhan Hotel Suites Al Aqiq,N/A,N/A,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,,Executives Hotel - Olaya,7.7,2841 reviews,1.0,1.0,1.0,,1.0,,0.0,0.0,0.0,0.0
82,,,,,,,,,,,,,,,,,,,,Al-Mutab Suites Dammam Road,N/A,N/A,,,,,,,0.0,0.0,0.0,0.0
83,,,,,,,1.0,,,,,,,,,,,,1.0,RosaGrandHotel,N/A,N/A,,,1.0,,,,0.0,0.0,0.0,0.0
84,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,Comfort Hotel Riyadh Olaya,9.5,4 reviews,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
85,1.0,,,,,,,1.0,,1.0,,,,,,,,,,Holiday Al Khaleej Al Najah,N/A,N/A,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
86,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,,Swiss International Royal Hotel Riyadh,7.5,901 reviews,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
87,,,,,,,,,,,,,,,,,,,,Almuhaidb Residence Almalaz,N/A,N/A,,1.0,,,,,0.0,0.0,0.0,0.0
88,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,,,1.0,,Almasem Luxury Hotel suite 6,7.3,1696 reviews,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
89,1.0,,,,,,,1.0,,1.0,,,,,,,,,,Taleen Al Nadwa,5.6,418 reviews,1.0,1.0,,,,,0.0,0.0,0.0,0.0
